"","X","State","Cases","name","lat","long"
"3",3,"AL",7,"alabama",30.3896808624268,-87.4620056152344
"4",4,"AR",3,"arkansas",33.0367469787598,-94.051025390625
"5",5,"AZ",6,"arizona",35.0191802978516,-114.637390136719
"6",6,"CA",85,"california",42.0092658996582,-120.006011962891
"7",7,"CO",6,"colorado",40.0096435546875,-102.055244445801
"8",8,"CT",4,"connecticut",42.049373626709,-73.4990234375
"9",9,"DC",6,"district of columbia",38.9439430236816,-77.1373062133789
"10",10,"DE",3,"delaware",39.7288932800293,-75.8023147583008
"11",11,"FL",33,"florida",30.9970169067383,-85.0154800415039
"12",12,"GA",33,"georgia",32.0397987365723,-80.8901824951172
"13",13,"ID",1,"idaho",42.0092658996582,-117.026634216309
"14",14,"IL",12,"illinois",42.507740020752,-90.6419219970703
"15",15,"IN",5,"indiana",37.7922973632812,-88.0235061645508
"16",16,"LA",3,"louisiana",33.0367469787598,-94.051025390625
"17",17,"MA",5,"massachusetts",41.27587890625,-70.061279296875
"18",18,"MD",22,"maryland",39.327823638916,-77.7159957885742
"19",19,"MI",6,"michigan",41.7514343261719,-83.4455718994141
"20",20,"MN",4,"minnesota",43.4932289123535,-96.4287948608398
"21",21,"MO",11,"missouri",40.6112480163574,-95.7527084350586
"22",22,"MS",8,"mississippi",34.996265411377,-88.1896591186523
"23",23,"NC",8,"new hampshire",42.7311935424805,-72.4734268188477
"24",24,"ND",1,"north dakota",45.9397583007812,-104.049133300781
"25",25,"NH",1,"new mexico",37.0016136169434,-103.00634765625
"26",26,"NJ",16,"new jersey",41.3675537109375,-74.7251586914062
"27",27,"NM",1,"north carolina",36.5547065734863,-76.0028533935547
"28",28,"NV",9,"nevada",36.9958839416504,-114.041519165039
"29",29,"NY",20,"new york",40.8977279663086,-72.4963531494141
"30",30,"OH",10,"ohio",40.6456260681152,-80.5177612304688
"31",31,"OK",1,"oklahoma",37.0016136169434,-102.049514770508
"32",32,"OR",11,"oregon",45.9970512390137,-116.929229736328
"33",33,"PA",19,"pennsylvania",42.2613677978516,-79.7671813964844
"34",34,"SC",1,"south carolina",34.9905319213867,-83.1075286865234
"35",35,"SD",1,"south dakota",42.4733619689941,-96.4345245361328
"36",36,"TN",12,"tennessee",36.0046691894531,-89.7194595336914
"37",37,"TX",38,"texas",33.6669998168945,-94.4979248046875
"38",38,"UT",1,"utah",42.0035362243652,-114.047248840332
"39",39,"VA",19,"virginia",39.327823638916,-77.7159957885742
"40",40,"WA",9,"washington",47.61852,-122.6187
"41",41,"WI",2,"wisconsin",42.502010345459,-87.8000564575195
"42",42,"WV",1,"washington",45.9970512390137,-116.929229736328
